|------
|KODIKOS_OUSIAS|ONOMA_OUSIAS|ARITHMOS_ASTHENON|ARITHMOS_FARMAKON
|DO-03769|Darunavir|1|104
|DO-09706|Ramucirumab|1|4
|DO-02388|Calendula Officinalis 2a Dil. D4|1|2
|DO-06916|Ledum Palustre Dil. D4, Toxicodendron Quercifolium|1|1
|DO-07559|Manganum Sulfuricum Trit. D12|1|1
|DO-04388|Dry Extract From Hawthorn Leaf And Flower (4-7:1),|1|13
|DO-07879|Metformin Hydrochloride, Sitagliptin Hydrochloride|1|25
|DO-00734|Amoxicillin Trihydrate, Silica, Colloidal Anhydrou|1|1
|DO-07169|Liquid Extract From Hawthorn Berries 1:1|1|2
|DO-06175|Human Protein C|1|4
|DO-08362|Niraparib, Abiraterone Acetate|1|4
|DO-05298|Ferrum Phosphoricum Trit. D6|0|2
|DO-09377|Prednisolone Acetate|0|25
|DO-04731|Emtricitabine, Tenofovir Alafenamide, Cobicistat, |0|4
|DO-02187|Cajuput Oil, Camphor, Menthol Ph. Eur., Clove Oil |0|2
|DO-08760|Parietaria Pollen Extract|0|1
|DO-07291|Losartan|0|25
|DO-03541|Crataegi Inflorescentia Tinctura (1:5)|0|1
|DO-06460|Imlifidase|0|4
|DO-02798|Chamomilla Vulgaris 9ch, Hyoscyamus Niger C9, Pass|0|7
|DO-10154|Sepia Officinalis Dil. D 6, Calcium Carbonicum Hah|0|1
|DO-03920|Dexpanthenol, Hydrocortisone|0|1
|DO-05713|Ginkgo Biloba L., Folium (Dry Extract)|0|4
|DO-05458|Folic Acid Hydrate|0|6
|DO-09537|Pseudoephedrine Hydrochloride, Acetylsalicylic Aci|0|19
|DO-02347|Calcium Phosphoricum Trit. D6, Datura Stramonium T|0|1
|DO-08920|Peumus Boldus Leaf|0|1
|DO-08071|Morphine Hydrochloride Trihydrate|0|69
|DO-01362|Atropa Bella-Donna D4, Atropa Bella-Donna D6, Atro|0|1
|DO-07454|Magnesium Chloride Hexahydrate, Potassium Chloride|0|14
|DO-06620|Isoprenaline|0|1
|DO-02958|Chlorphenamine Maleate, Dexamethasone Valerate|0|1
|DO-11629|Valine, Alanine, Arginine, Histidine, Isoleucine, |0|51
|DO-10314|Sodium Bituminosulfonate Light|0|10
|DO-04080|Dimeticone, Pancreatin|0|2
|DO-05873|Goose Meat|0|1
|DO-11012|Tetracaine|0|2
|DO-09697|Ramipril|0|248
|DO-10395|Sodium Hyaluronate, Carbomer 981|0|2
|DO-09080|Piketoprofen|0|3
|DO-00757|Amylmetacresol, 2,4 Dichlorobenzyl Alcohol, Lidoca|0|78
|DO-08231|Natrium Sulfuricum Dil. D 4, Blatta Orientalis D6,|0|1
|DO-01522|Bacillus Subtilis E Volumine Ex Muris Cellulae (Ly|0|1
|DO-07614|Matricaria Recutita L. Flos|0|2
|DO-00142|Acidum Alpha-Ketoglutaricum D200, Acidum Alpha-Ket|0|2
|DO-11789|Vinflunine|0|4
|DO-04240|Donidalorsen|0|4
|DO-06033|Hepar Bovis - Magnesium Hydroxydatum (6:4) Dil. D4|0|1
|DO-11172|Tiliae Flos, Pimpinella Anisum, Thyme|0|9
|DO-04283|Dried Aluminium Hydroxide Bp, Magnesium Trisilicat|0|1
|DO-10555|Solidaginis Herba, Folium Uva Ursi, Urticae Herba|0|1
|DO-06843|Lactose., Apixaban|0|1
|DO-00917|Apis Mellifica Ex Animale Toto Gl Dil. D7 (Hab, Vs|0|1
|DO-08391|Nitrous Oxide|0|148
|DO-03093|Cimicifuga Trit. D2, Ignatia Trit. D3, Sanguinaria|0|1
|DO-01682|Benzalkonium Chloride, Neomycin Sulfate, Tyrothric|0|1
|DO-07774|Menthol, Eucalyptus Oil, Pumilio Pine Oil, Turpent|0|1
|DO-00302|Adonis Vernalis Trit D 3, Apocynum Cannabium Trit |0|1
|DO-11949|Zinc Acetate Dihydrate, Magnesium Chloride Hexahyd|0|1
|DO-05010|Ethinylestradiol|0|16
|DO-11332|Trastuzumab Deruxtecan|0|4
|DO-04443|Dry Extract From Tribulus Terrestris Herb (35-45:1|0|1
|DO-01899|Betulae Folium, Equisetum Stem, Restharrow Root, S|0|2
|DO-10715|Strychnos Nux-Vomica C4, Anamirta Cocculus C4, Nic|0|10
|DO-07003|Levomenthol, Camphor, Racemic, Pumilio Pine Oil|0|1
|DO-01077|Arnica Montana Dil. D4, Harpagophytum Procumbens D|0|1
|DO-03253|Clopamide, Reserpine, Dihydroergocristine|0|1
|DO-06172|Human Papillomavirus Type 31 L1 Protein - Adsorbed|0|4
|DO-02510|Caraway Fruit, Menthae Piperitae Folium, Cortex Fr|0|1
|DO-09866|Riboflavin Sodium Phosphate Hydrate, Thiamine Hydr|0|1
|DO-00462|Almotriptan Malate|0|11
|DO-05170|Extract Of St. John&#039;s Wort (1: 1). Extraction Solv|0|2
|DO-09249|Pork|0|8
|DO-11492|Unithiol|0|1
|DO-04603|E.Coli Polysaccharide|0|1
|DO-02059|Bromhexine Hydrochloride, Extractum Fluidum Aquosu|0|1
|DO-08632|Paliperidone Palmitate|0|142
|DO-10875|Tamsulosin, Solifenacin|0|11
|DO-07163|Liquid Extract From Fresh Arnica Flower, Extractio|0|3
|DO-03413|Collagenase Clostridium Histolyticum, Enzymes Nos|0|1
|DO-06332|Hyoscine Hydrobromide|0|8
|DO-02670|Cefoxitin Sodium|0|15
|DO-10026|Salviae Herba|0|2
|DO-03792|Dehydrocholic Acid, Homatropine Methylbromide, Pap|0|1
|DO-05585|Gadopentetate Dimeglumine|0|3
|DO-05330|Filipendula Ulmaria Flowering Top|0|1
|DO-09409|Pressed Juice From Fresh Flowering St. John&#039;s Wort|0|1
|DO-04763|Enterococcus Faecium, Bifidobacterium Longum|0|1
|DO-02219|Calcium Carbonate, Magnesium Hydroxide|0|1
|DO-08792|Patent Blue V (E131)|0|5
|DO-07943|Metoclopramide Hydrochloride Monohydrate|0|68
|DO-01234|Ascorbic Acid, Biotin, Colecalciferol, Cyanocobala|0|1
|DO-03573|Crocus D3, Cyclamen Dil. D3, Chamaelirium Luteum D|0|1
|DO-07326|Luspatercept|0|4
|DO-06492|Indoramin Hydrochloride|0|1
|DO-02830|Chelidonium Ø, Dioscorea Villosa Trit. D2, Taraxac|0|1
|DO-10186|Sertindole|0|21
|DO-03952|Dextromethorphan Hydrobromide, Paracetamol, Pseudo|0|3
|DO-05745|Glibenclamide|0|27
|DO-09569|Pulpa Dentis Suis D10, Pulpa Dentis Suis D200, Pul|0|1
|DO-02379|Calcium, Magnesium, Potassium, Sodium, Chloride Io|0|1
|DO-08952|Phenoxybenzamine Hydrochloride|0|2
|DO-00629|Amiloride Hydrochloride Ph. Eur., Furosemide Ph. E|0|1
|DO-08103|Mullein Extract|0|1
|DO-07486|Magnesium Lactate Dihydrate|0|4
|DO-06652|Ispaghula Seed, Senna Pods, Tinnevelly, Ispaghula |0|9
|DO-02990|Chlorpromazine|0|3
|DO-00014|131i-Meta-Iodobenzyl-Guanidine Sulfate|0|2
|DO-11661|Valine, Alanine, Arginine, Histidine, Isoleucine, |0|2
|DO-10346|Sodium Chloride, Urea|0|1
|DO-04112|Diphenhydramine Hydrochloride, Phenylephrine Hydro|0|2
|DO-05905|Grindelia Robusta Trit. D 4, Hyoscyamus Niger Trit|0|1
|DO-11044|Thalidomide|0|30
|DO-09729|Recombinant Human Interferon Gamma 1b|0|7
|DO-10427|Sodium Hydrogen Carbonate, Potassium Chloride, Sod|0|7
|DO-09112|Piperacillin Sodium, Tazobactam Sodium|0|53
|DO-06715|Kalium Iodatum Dil. D 3, Juglans Regia D2, Berberi|0|1
|DO-00789|Andexanet Alfa|0|4
|DO-08263|Neomycin Sulfate, Fluocinolone Acetonide|0|11
|DO-01554|Banana Fruit|0|8
|DO-07646|Mecillinam|0|2
|DO-00174|Acidum Citricum D10, Acidum Citricum D200, Acidum |0|1
|DO-11821|Viscum Album Amygdali Ex Herba Recente Col. D6|0|1
|DO-06065|Heparin Sodium, Dexpanthenol, Allantoin|0|2
|DO-04882|Eribulin|0|52
|DO-11204|Tincture From Arnica Montana Flower (Der 1:20), Ex|0|1
|DO-04315|Drosera Trit. D 3, Grindelia Robusta Trit. D 4, Ve|0|1
|DO-10587|Sorbitan Trioleate, Water For Injection, Polysorba|0|1
|DO-06875|Latanoprost, Timolol|0|57
|DO-00949|Aqueous Extract Of Dry Maltodextrin Erysimum, Code|0|1
|DO-08423|Nortriptyline|0|30
|DO-03125|Cineole Bp, Menthol Bp, Methyl Salicylate Bp|0|1
|DO-01714|Benzocaine, Mint Oil, Partly Dementholised, Zinc O|0|1
|DO-07806|Mequitazine|0|1
|DO-00334|Aether Sulfuricus D1, Valeriana Officinalis Ø, Lob|0|1
|DO-11981|Zinc Oxide, Pramocaine Hydrochloride|0|1
|DO-05042|Etofylline|0|2
|DO-11364|Tribenoside, Lidocaine Hydrochloride|0|8
|DO-04475|Dry Extract Of Fresh Artichoke Leaf (1:30-31), Ext|0|4
|DO-01931|Biclotymol, Enoxolone, Muramidase Hydrochloride|0|3
|DO-10747|Sufentanil|0|37
|DO-07035|Levomenthol, Sodium Citrate, Ammonium Chloride, Sq|0|1
|DO-01109|Arnica Montana Trit. D 4, Ferrum Phosphoricum Trit|0|1
|DO-03285|Cloxazolam|0|2
|DO-06204|Hydrargyrum Sulfuratum Rubrum Dil. D8, Luffa Operc|0|1
|DO-02542|Carbo Vegetabilis Trit. D 3, Hepar Sulfuris Trit. |0|1
|DO-09898|Risedronic Acid|0|3
|DO-03664|Cyclobarbital Calcium, Diazepam|0|1
|DO-00494|Althaea Extract, Thyme Dry Extract|0|1
|DO-05202|Febuxostat|0|160
|DO-09281|Potassium Chloride, Sodium Chloride, Calcium Chlor|0|1
|DO-11524|Vaccinium Macrocarpos Aiton, Syn. Oxycoccus Macroc|0|1
|DO-04635|Echinacea Mother Tincture, Argentum Metallicum Pra|0|1
|DO-02091|Bryonia D10, Bryonia D1000, Bryonia D15, Bryonia D|0|5
|DO-08664|Pancreatin, Trypsin, Amylase, Chymotrypsin, Pancre|0|1
|DO-10907|Tartarus Stibiatus Trit. D3|0|1
|DO-07195|Liquid Extract From Thyme Herb (Der 1:2-2,5), Extr|0|3
|DO-03445|Conium Maculatum D12, Conium Maculatum D200, Coniu|0|1
|DO-02702|Celery|0|8
|DO-10058|Sarilumab|0|4
|DO-03824|Dermatophagoides Farinae (504), Dermatophagoides P|0|4
|DO-05617|Gaxilose|0|2
|DO-05362|Fludrocortisone Acetate, Gramicidin, Neomycin Sulf|0|1
|DO-09441|Probenecid|0|6
|DO-04795|Epinephrine Bitartrate, Prilocaine Hydrochloride|0|2
|DO-02251|Calcium Carbonicum Hahnemanni Trit. D6, Calcium Ph|0|1
|DO-08824|Pemetrexed Disodium|0|10
|DO-07975|Micafungin Sodium|0|19
|DO-01266|Ascorbic Acid, Ferrous Fumarate|0|2
|DO-03605|Cuprum Metallicum D12, Hepar Sulfuris D6, Stibium |0|1
|DO-07358|Lysine Amidotrizoate|0|2
|DO-06524|Insulin Icodec, Semaglutide|0|3
|DO-02862|Chloramphenicol Bp|0|3
|DO-10218|Silicea D30, Hekla Lava E Lava D12, Calcium Hypoph|0|1
|DO-03984|Diclofenac Deanol|0|1
|DO-05777|Glucose, Anhydrous, Sodium Chloride|0|4
|DO-09601|Pumpkin Seed, Crushed, Dry Extract Of Saw Palmetto|0|2
|DO-02411|Camellia Sinensis Leaf, Cryoground|0|1
|DO-08984|Phenylephrine Hydrochloride, Ibuprofen Bp|0|6
|DO-00661|Amlodipine Besilate, Atorvastatin L-Lysine|0|1
|DO-08135|N. Meningitidis Group C (Strain C11) Oligosacchari|0|6
|DO-01426|Aurum Metallicum Dil. D9, Stibium Metallicum Dil. |0|1
|DO-07518|Magnesium Sulfate|0|8
|DO-06684|Juniperus Ashei Buchholz|0|34
|DO-03022|Chondroitin Polysulfate|0|28
|DO-00046|A/Vietnam/1203/2004 (H5n1) Strain (A/Vietnam/1203/|0|4
|DO-11693|Valine, Threonine, Tyrosine, Glycine, Tryptophan, |0|1
|DO-04144|Dipotassium Phosphate, Magnesium Aspartate Dihydra|0|1
|DO-05937|Guinea Pig Epithelia|0|26
|DO-11076|Thiamine Hydrochloride, Ergocalciferol, Cyanocobal|0|1
|DO-10459|Sodium Molybdate Dihydrate, Zinc Chloride, Ferric |0|24
|DO-06747|Ketoconazole, Propolis Liquid Extract (3-4:10)|0|1
|DO-00821|Anhydrous Tiotropium Bromide|0|3
|DO-08295|Neostigmine Methylsulfate|0|23
|DO-01586|Beclometasone Dipropionate, Formoterol|0|1
|DO-07678|Melamine Formaldehyde Resin|0|1
|DO-00206|Acidum Nitricum Dil. D4, Juniperus Communis Dil. D|0|1
|DO-11853|Viscum Album P, Herba Rec., Ferm Aqu. Extr. 1:5|0|3
|DO-04914|Escherichia Coli Lyophilised Lysate|0|4
|DO-11236|Tincture From Valerian Root (1:5), Extraction Solv|0|1
|DO-04347|Dry Extract From Bearberry Leaf Corresponding To 6|0|1
|DO-10619|Spinacia Oleracea|0|1
|DO-06907|Ledum Palustre Dil. D 3, Berberis Vulgaris Dil. D2|0|1
|DO-00981|Argentum Metallicum Dil. D19 Aquos., Arnica Montan|0|3
|DO-08455|Obecabtagene Autoleucel|0|4
|DO-03157|Cisplatin|0|73
|DO-01746|Benzyl Alcohol, Propylene Glycol, Melatonin|0|1
|DO-07838|Mestranol, Norethisterone|0|1
|DO-09770|Restharrow Root, Orthosiphon Folium|0|1
|DO-00366|Albumen|0|5
|DO-12013|Zinnober Trit. D6|0|1
|DO-05074|Eupatorium Perfoliatum Mother Tincture, Gelsemium |0|1
|DO-09153|Placenta Totalis Suis D12, Placenta Totalis Suis D|0|1
|DO-11396|Trimethoprim|0|36
|DO-04507|Dry Extract Of Melissa Leaf (3-6:1), Extraction So|0|15
|DO-01963|Bismuth Oxide|0|13
|DO-08536|Orache Pollen|0|1
|DO-10779|Sulfogaiacol, Ammonium Chloride|0|1
|DO-07067|Lidocaine Hydrochloride Monohydrate, Cefotaxime|0|1
|DO-01141|Arsenic Trioxide|0|48
|DO-03317|Cochliobolus Lunatus R.R. Nelson &amp; F.A. Haasis, Wh|0|1
|DO-06236|Hydrochlorothiazide, Losartan|0|20
|DO-02574|Carglumic Acid|0|32
|DO-09930|Rosmarini Aetheroleum 10% (Hab, Vs. 12h Mit Native|0|1
|DO-03696|Cystine, Pyridoxine Hydrochloride|0|2
|DO-05489|Formica Rufa Ex Animale Toto Gl Dil. D4 (Hab, Vs. |0|1
|DO-00526|Aluminium Hydroxide-Magnesium Carbonate Gel, Magne|0|1
|DO-05234|Fenofibrate (Nanonised)|0|18
|DO-09313|Potassium Clavulanate, Ticarcillin Sodium|0|1
|DO-11556|Valeriana Officinalis Dry Extract|0|3
|DO-04667|Echinacea Purpurea Root, Cryoground|0|1
|DO-02123|Budesonide, Micronised|0|5
|DO-08696|Paracetamol, Acetylsalicylic Acid|0|6
|DO-10939|Tebentafusp|0|4
|DO-07227|Liquid Paraffin|0|28
|DO-03477|Copper Gluconate, Manganese Gluconate, Potassium I|0|14
|DO-06396|Hypromellose Ph Eur|0|1
|DO-02734|Cetirizine Dihydrochloride|0|397
|DO-10090|Secale Cereale|0|4
|DO-03856|Devil&#039;s Claw Root|0|4
|DO-05649|Gelsemium Sempervirens Dil. D4, Cyclamen Purpurasc|0|1
|DO-05394|Fluocinolone Acetonide, Lidocaine Hydrochloride|0|3
|DO-09473|Promelase|0|2
|DO-04827|Equisetum|0|5
|DO-02283|Calcium Fluoratum D200, Calcium Fluoratum Dil. D12|0|1
|DO-08856|Pentostatin|0|9
|DO-08007|Milk Thistle Fruit Extract|0|7
|DO-01298|Ascorbic Acid, Rutoside, Salicylamide, Zinc Glucon|0|2
|DO-03637|Cyanocobalamin, Folic Acid, Nicotinamide|0|1
|DO-07390|Magnesium Aspartate, Potassium Aspartate|0|6
|DO-06556|Ioflupane (123i)|0|25
|DO-02894|Chlorhexidine Dihydrochloride, Lidocaine Hydrochlo|0|41
|DO-10250|Simeticone, Magnesium Hydroxide, Aluminium Hydroxi|0|10
|DO-04016|Diethylstilbestrol|0|1
|DO-05809|Glycerol, Soya-Bean Oil Refined, Gelatin, Sorbitol|0|1
|DO-09633|Pyridoxine, Magnesium|0|1
|DO-09016|Phleum Pratense Pollen, Depigmented Polymerized Ex|0|1
|DO-00693|Ammi Visnaga Mother Tincture, Atropinum Sulfuricum|0|1
|DO-08167|Nandrolone Decanoate|0|11
|DO-01458|Avelumab|0|4
|DO-07550|Mandur Bhasma, Capparis Spinosa Cortex, Solanum Ni|0|1
|DO-00078|Acetazolamide|0|42
|DO-11725|Varicella Virus Oka/Merck Strain, (Live, Attenuate|0|31
|DO-04176|Disodium Phosphate, Anhydrous, Sodium Hydrogen Car|0|1
|DO-05969|Hamamelis Dil. D1, Crocus D3, Trillium Pendulum D2|0|1
|DO-11108|Thuja Occidentalis D6, Atropa Belladonna Dil. D4, |0|1
|DO-10491|Sodium Pyrophosphate Decahydrate|0|18
|DO-06779|Lachesis D 12, Ferrum Phosphoricum D12, Eupatorium|0|1
|DO-00853|Antimonit Dil. D6 Aquos., Antimonit D10, Antimonit|0|1
|DO-08327|Nicotiana Tabacum E Foliis Ferm 33b Dil. D29 (Hab,|0|2
|DO-01618|Belladonna Tincture, Valerian Tincture, Tincture F|0|1
|DO-07710|Melissae Herba|0|1
|DO-00238|Acidum Silicicum Trit. D4, Bryonia Trit. D 3, Chel|0|1
|DO-11885|Vortioxetine|0|96
|DO-04946|Estradiol Hemihydrate, Prednisolone Sesquihydrate|0|4
|DO-11268|Titanium Dioxide, Titanium Salicylate|0|1
|DO-04379|Dry Extract From Ginseng Root (3-7:1): Ethanol 40 |0|2
|DO-01835|Betamethasone Sodium Phosphate, Neomycin Sulfate|0|1
|DO-10651|Stannum Metallicum Dil. D8, Carduus Marianus Ø, Be|0|1
|DO-06939|Leuprorelin|0|31
|DO-01013|Argentum Nitricum D4, Bismutum Subnitricum D8, Atr|0|1
|DO-08487|Olea Europaea L.|0|39
|DO-03189|Cladosporium Herbarum (417)|0|3
|DO-01778|Berberis Vulgaris E Fructibus Ferm 33c Ø (Hab, Vs.|0|1
|DO-06108|Hidrosmin|0|6
|DO-07870|Metformin Hydrochloride, Empagliflozin|0|19
|DO-02446|Camphora D4, Eupatorium Perfoliatum D3, Aconitum N|0|1
|DO-09802|Retinol Palmitate, Riboflavin Sodium Phosphate Hyd|0|1
|DO-00398|Algeldrate, Hepatitis A Virus Antigen (Inactivated|0|4
|DO-05106|Evening Primrose Oil|0|3
|DO-09185|Plerixafor|0|91
|DO-11428|Trometamol Citrate, Anhydrous Disodium Citrate, Di|0|1
|DO-04539|Dry Extract Of Ptychopetalum Olacoides Wood (100-2|0|2
|DO-01995|Blinatumomab|0|3
|DO-08568|Ovolecithin, Soya Oil|0|1
|DO-10811|Sulprostone|0|7
|DO-07099|Lidocaine Ph. Eur.|0|1
|DO-01173|Artemisia Vulgaris Pollen, Depigmented Polymerized|0|1
|DO-03349|Codeine Phosphate, Foeniculi Tinctura, Pini Extrac|0|1
|DO-06268|Hydrocortisone Acetate, Peru Balsam, Zinc Oxide, B|0|5
|DO-02606|Castanea Sativa|0|24
|DO-09962|Ruta Graveolens D8, Smilax D1, Clematis Vitalba D1|0|1
|DO-03728|Dactylis Glomerata L., Phleum Pratense L., Lolium |0|27
|DO-05521|Fotemustine|0|1
|DO-00558|Aluminium Phosphate, Hepatitis B Surface Antigen (|0|4
|DO-05266|Ferrous Gluconate|0|44
|DO-09345|Potato Starch, Zinc Oxide|0|1
|DO-04699|Elacestrant|0|4
|DO-02155|Butacaine, Dimercaprol|0|1
|DO-08728|Paracetamol, Propyphenazone, Caffeine, Codeine Pho|0|2
|DO-07259|Lobelia Inflata Trit. D4, Acidum Formicicum Trit. |0|1
|DO-03509|Corpus Vitreum Bovis Gl Dil. D7 (Hab, Vs. 41b), Le|0|1
|DO-06428|Ichthammol, Salicylic Acid, Betamethasone 17-Valer|0|1
|DO-02766|Cetylpyridinium Chloride, Lidocaine Hydrochloride|0|10
|DO-10122|Semaglutide|0|15
|DO-03888|Dexamethasone Sodium Phosphate, Netilmicin Sulfate|0|4
|DO-05681|Gentamicin, Betamethasone|0|19
|DO-05426|Fluprednidene Acetate, Miconazole Nitrate|0|20
|DO-09505|Propylene Glycol, Lactic Acid|0|1
|DO-04859|Equisetum Stem, Restharrow Root, Urticae Folium|0|1
|DO-02315|Calcium Ion, Carbon Dioxide, Magnesium, Sulfate, H|0|1
|DO-08888|Perindopril Tert-Butylamine, Indapamide|0|99
|DO-08039|Mixture Of Allergen Extracts From Alopecurus Prate|0|2
|DO-01330|Aster Pollen|0|1
|DO-07422|Magnesium Chloride Hexahydrate, Potassium Chloride|0|1
|DO-06588|Iris Versicolor D6, Cimicifuga Racemosa D6, Psycho|0|1
|DO-02926|Chlorhexidine, Chlorocresol, Hexamidine|0|1
|DO-11597|Valine, Acetylcysteine, Alanine, Arginine, Histidi|0|1
|DO-10282|Smilax Dil. D 4, Guajacum Dil. D6, Rhus Toxicodend|0|1
|DO-04048|Diltiazem Hydrochloride|0|122
|DO-05841|Glycine, Magnesium Chloride Hexahydrate, Potassium|0|4
|DO-10980|Terebinthinae Aetheroleum Rectificatum, Apis Melli|0|1
|DO-09665|Quinidine Gluconate, Cinchonidine Hydrochloride, C|0|1
|DO-10363|Sodium Dihydrogen Phosphate Dihydrate, Disodium Ph|0|1
|DO-09048|Phosphorus Dil. D 12, Phosphorus Dil. D1000, Phosp|0|1
|DO-00725|Amoxicillin Sodium, Clavulanic Acid|0|4
|DO-08199|Nasturtium Officinale Dil. D6, Ailanthus Altissima|0|1
|DO-01490|Azelastine, Fluticasone|0|3
|DO-07582|Maraviroc|0|18
|DO-00110|Acetylcysteine, Taurine, Glycine, N-Acetyltyrosine|0|4
