|------
|Τμήμα|Έτος|Κωδικός ΚΕΝ|Ασφαλιστικός Φορέας|Πλήθος Νοσηλειών|Συνολικό Βασικό Έσοδο|Συνολική Πρόσθετη Χρέωση|Τελικό Σύνολο Εσόδων
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|S20Α|ΕΟΠΥΥ|1|2043.25|650.40|2693.65
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|W13Α|METLIFE|1|2001.03|422.40|2423.43
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Α33Μβ|ΕΟΠΥΥ|1|2057.40|417.38|2474.78
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Β23Α|ALLIANZ|1|3626.95|1366.50|4993.45
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Δ06Α|ETHNIKI|1|3724.29|1561.70|5285.99
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ε04Α|ALLIANZ|1|2807.60|0.00|2807.60
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Η20Χ|ΕΟΠΥΥ|1|4682.77|2252.88|6935.65
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Η40Μβ|ΕΟΠΥΥ|1|2690.07|1216.16|3906.23
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ι22Μ|ALLIANZ|1|1665.46|0.00|1665.46
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Κ08Μ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|1020.93|0.00|1020.93
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Κ16Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|1801.38|1176.80|2978.18
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Κ32Μ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|1822.09|0.00|1822.09
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Κ38Μ|INTERAMERICAN|1|1643.57|426.00|2069.57
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Μ07Α|GENERALI|1|2411.10|0.00|2411.10
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Μ13Μ|ETHNIKI|1|777.82|0.00|777.82
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Μ20Α|NN|1|2328.06|1470.66|3798.72
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Μ32Μβ|ALLIANZ|1|915.64|0.00|915.64
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Μ63Χ|ΕΦΚΑ|1|2063.95|1526.80|3590.75
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ν12Μ|INTERAMERICAN|1|2688.59|0.00|2688.59
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ν29Χ|METLIFE|1|4255.74|113.82|4369.56
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ν30Α|ETHNIKI|1|1909.31|850.12|2759.43
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ξ02Χ|ALLIANZ|1|4892.37|2725.14|7617.51
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ο15Α|NN|1|2001.53|2636.30|4637.83
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Σ01Χ|ETHNIKI|1|3848.53|459.64|4308.17
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Σ22Χ|NN|1|981.12|1391.13|2372.25
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Φ02Χ|METLIFE|1|2864.01|0.00|2864.01
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Φ62Χ|METLIFE|1|1206.50|0.00|1206.50
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|2025|Ω06Α|ALLIANZ|1|2989.84|895.11|3884.95
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Γ21Α|ETHNIKI|1|1202.98|2396.97|3599.95
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Η20Μ|ETHNIKI|1|1310.15|0.00|1310.15
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Ν31Μ|ΕΦΚΑ|1|1546.87|0.00|1546.87
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Ξ20Μ|EUROLIFE|1|4364.97|685.47|5050.44
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Ρ20Μ|ALLIANZ|1|1480.35|0.00|1480.35
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Σ20Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|663.47|235.75|899.22
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Τ27Μβ|NN|1|2341.52|0.00|2341.52
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2021|Φ61Α|ΕΦΚΑ|1|1388.04|2304.39|3692.43
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Η23Χ|ALLIANZ|1|4398.50|695.76|5094.26
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Θ21Α|NN|1|3014.83|0.00|3014.83
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Κ37Χ|INTERAMERICAN|1|4980.32|1695.80|6676.12
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Λ03Μ|EUROLIFE|1|2597.26|2613.50|5210.76
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Μ32Χ|INTERAMERICAN|1|3906.29|184.19|4090.48
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Μ61Χ|GENERALI|1|2469.71|811.35|3281.06
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Μ77Χ|ΕΦΚΑ|1|958.96|0.00|958.96
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Ν37Α|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|590.84|208.11|798.95
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Υ07Χ|GENERALI|1|2668.24|593.00|3261.24
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2022|Υ08Μ|ΕΟΠΥΥ|1|4697.76|177.63|4875.39
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Α35Μα|NN|1|3960.10|0.00|3960.10
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Γ08Α|METLIFE|1|4538.12|1154.23|5692.35
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Ε12Α|GENERALI|1|569.73|0.00|569.73
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Μ24Α|GENERALI|1|4925.24|1644.72|6569.96
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Ν07Χ|GENERALI|1|644.12|1272.30|1916.42
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Ν11Α|NN|1|2797.49|592.35|3389.84
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Ν34Χ|ETHNIKI|1|1496.98|1110.15|2607.13
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2023|Ο15Β|EUROLIFE|1|1997.77|3826.03|5823.80
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|S20Χ|NN|1|1512.13|0.00|1512.13
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Α10Μ|ETHNIKI|1|1820.02|0.00|1820.02
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Α24Μ|NN|1|1151.65|0.00|1151.65
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Α33Μβ|ΕΦΚΑ|1|1676.09|0.00|1676.09
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Γ08Α|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|1417.28|3225.60|4642.88
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Γ12Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|2486.29|1188.96|3675.25
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Δ13Μ|ETHNIKI|1|2364.82|0.00|2364.82
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Δ14Α|ΕΟΠΥΥ|1|4627.19|571.72|5198.91
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Δ29Χ|INTERAMERICAN|1|3379.23|0.00|3379.23
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Η08Χ|ALLIANZ|1|3858.66|564.06|4422.72
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Η40Μα|METLIFE|1|1947.33|0.00|1947.33
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Κ09Μβ|INTERAMERICAN|1|4218.80|0.00|4218.80
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Κ21Μ|ΕΦΚΑ|1|1854.56|0.00|1854.56
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Κ21Χ|NN|1|3193.94|542.43|3736.37
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Κ32Χ|ALLIANZ|1|1427.68|494.48|1922.16
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Κ38Μ|METLIFE|1|940.65|153.01|1093.66
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Κ42Μ|ETHNIKI|1|4582.32|0.00|4582.32
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Κ42Χ|INTERAMERICAN|1|986.32|0.00|986.32
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Μ08Χ|EUROLIFE|1|1926.79|0.00|1926.79
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Μ21Α|INTERAMERICAN|1|2150.26|1019.20|3169.46
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Μ66Μ|ΕΦΚΑ|1|633.26|0.00|633.26
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Ν04Χ|INTERAMERICAN|1|3515.49|91.92|3607.41
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Ν25Α|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|2514.84|1831.17|4346.01
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Ν32Μ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|3414.02|0.00|3414.02
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Ξ01Α|GENERALI|1|3385.16|254.32|3639.48
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Ο20Μ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|3301.53|0.00|3301.53
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Π12Μβ|ΕΟΠΥΥ|1|1139.85|1640.40|2780.25
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Π26Χ|ALLIANZ|1|1476.25|0.00|1476.25
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Π44Χ|INTERAMERICAN|1|2945.29|1387.20|4332.49
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Ρ24Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|4790.41|774.51|5564.92
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Σ02Χβ|ETHNIKI|1|1341.59|604.80|1946.39
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Υ04Χα|INTERAMERICAN|1|4981.48|1163.64|6145.12
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Υ07Μ|INTERAMERICAN|1|2685.40|0.00|2685.40
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Υ20Μα|EUROLIFE|1|1046.30|0.00|1046.30
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Υ27Μ|ALLIANZ|1|1627.09|801.84|2428.93
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2024|Ω14Α|INTERAMERICAN|1|2556.11|1621.17|4177.28
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|G01Μβ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|3808.00|0.00|3808.00
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|W13Α|ΕΟΠΥΥ|1|3110.55|0.00|3110.55
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Α02Χ|GENERALI|1|2202.62|144.26|2346.88
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Α02Χ|ΕΟΠΥΥ|1|1821.97|0.00|1821.97
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Β05Α|INTERAMERICAN|1|1909.89|2256.56|4166.45
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Γ06Μ|GENERALI|1|1699.86|1822.38|3522.24
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Δ24Χ|ETHNIKI|1|3799.84|768.96|4568.80
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ε09Γ|METLIFE|1|4382.73|0.00|4382.73
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ε10Α|ETHNIKI|1|2656.42|0.00|2656.42
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Η01Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|4989.06|1231.45|6220.51
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Η05Χ|GENERALI|1|1918.02|446.34|2364.36
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Η07Χ|ETHNIKI|1|1285.65|85.89|1371.54
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Θ20Α|GENERALI|1|4551.18|1560.51|6111.69
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Κ08Μ|GENERALI|1|1431.25|0.00|1431.25
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Κ16Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|1801.38|2588.96|4390.34
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Κ32Χ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|732.84|291.79|1024.63
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Μ01Μ|METLIFE|1|550.11|0.00|550.11
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Μ31Χ|NN|1|3666.97|0.00|3666.97
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Μ64Χ|ALLIANZ|1|3037.88|0.00|3037.88
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Μ71Χ|GENERALI|1|4939.75|3319.56|8259.31
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ν24Μ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|1685.57|0.00|1685.57
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ξ21Χ|EUROLIFE|1|2635.33|0.00|2635.33
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ο15Β|INTERAMERICAN|1|1021.44|1763.37|2784.81
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ο20Χ|INTERAMERICAN|1|2520.79|0.00|2520.79
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Π04Μβ|NN|1|517.18|0.00|517.18
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Π26Χ|NN|1|2523.14|0.00|2523.14
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Π40Χ|NN|1|2755.63|170.04|2925.67
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ρ20Α|INTERAMERICAN|1|3667.67|595.80|4263.47
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ρ22Χ|INTERAMERICAN|1|4117.89|121.37|4239.26
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Τ24Α|EUROLIFE|1|2144.65|0.00|2144.65
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Φ63Χ|ΕΦΚΑ|1|3924.28|0.00|3924.28
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ω04Μ|ALLIANZ|1|3766.11|154.23|3920.34
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|2025|Ω36Χ|INTERAMERICAN|1|3578.38|1295.44|4873.82
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Κ32Α|ΕΟΠΥΥ|1|768.89|1947.60|2716.49
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Κ32Μ|ΕΦΚΑ|1|4479.19|798.06|5277.25
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Μ76Μ|NN|1|3125.59|233.49|3359.08
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Ν12Μ|ALLIANZ|1|2980.87|0.00|2980.87
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Φ61Α|METLIFE|1|1909.22|173.37|2082.59
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Χ46Α|METLIFE|1|3574.27|0.00|3574.27
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Ω33Α|ΕΦΚΑ|1|1862.22|125.90|1988.12
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2021|Ω36Χ|GENERALI|1|1420.38|1235.22|2655.60
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2022|Α33Χ|METLIFE|1|4691.39|1069.81|5761.20
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2022|Δ14Α|GENERALI|1|1149.84|0.00|1149.84
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2022|Δ20Μ|ΕΦΚΑ|1|1652.80|0.00|1652.80
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2022|Θ22Χ|ΕΟΠΥΥ|1|1340.68|743.88|2084.56
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2022|Κ17Χ|NN|1|2564.66|909.09|3473.75
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2022|Π12Μα|NN|1|4220.18|0.00|4220.18
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2023|Α28Χ|ΕΦΚΑ|1|2320.35|0.00|2320.35
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2023|Β23Α|ALLIANZ|1|3626.95|3552.90|7179.85
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2023|Δ01Μ|ETHNIKI|1|2517.49|0.00|2517.49
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2023|Η08Μ|NN|1|1900.97|1709.68|3610.65
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2023|Η42Μ|ΑΝΑΣΦΑΛΙΣΤΟΣ|1|4585.08|1046.30|5631.38
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2023|Μ02Μ|EUROLIFE|1|4451.89|0.00|4451.89
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2023|Μ06Α|INTERAMERICAN|1|4171.15|0.00|4171.15
