|------
|Τμήμα|Βάρδια|Τύπος Προσωπικού|Υποκλάση (Ειδικότητα/Βαθμίδα/Ρόλος)|Προγραμματισμένος Αριθμός
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΑΡΧΕΙΟΦΥΛΑΚΑΣ|4
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΓΡΑΜΜΑΤΕΑΣ|5
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΕΥΘΥΝΟΣ ΜΗΧΑΝΟΓΡΑΦΗΣΗΣ|4
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΑ|8
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΓΕΝΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΝΕΥΡΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΟΓΚΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΟΡΘΟΠΕΔΙΚΗ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΟΦΘΑΛΜΟΛΟΓΙΑ|2
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΠΑΙΔΙΑΤΡΙΚΗ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΠΝΕΥΜΟΝΟΛΟΓΙΑ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΨΥΧΙΑΤΡΙΚΗ|1
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ|8
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΝΟΣΗΛΕΥΤΗΣ|12
|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΠΡΟΪΣΤΑΜΕΝΟΣ|22
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΛΟΓΙΣΤΗΣ|5
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΕΥΘΥΝΟΣ ΜΗΧΑΝΟΓΡΑΦΗΣΗΣ|4
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|5
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΑ|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΓΕΝΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ|5
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ|7
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΟΦΘΑΛΜΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΠΑΙΔΙΑΤΡΙΚΗ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΠΝΕΥΜΟΝΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ|20
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΝΟΣΗΛΕΥΤΗΣ|5
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΠΡΟΪΣΤΑΜΕΝΟΣ|17
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΛΟΓΙΣΤΗΣ|7
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΕΥΘΥΝΟΣ ΜΗΧΑΝΟΓΡΑΦΗΣΗΣ|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|5
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ|9
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΚΑΡΔΙΟΛΟΓΙΑ|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΝΕΥΡΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΟΓΚΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΟΦΘΑΛΜΟΛΟΓΙΑ|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΠΑΙΔΙΑΤΡΙΚΗ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ|13
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΝΟΣΗΛΕΥΤΗΣ|9
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΝΥΧΤΕΡΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΠΡΟΪΣΤΑΜΕΝΟΣ|20
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΛΟΓΙΣΤΗΣ|7
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΕΥΘΥΝΟΣ ΜΗΧΑΝΟΓΡΑΦΗΣΗΣ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|6
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΓΕΝΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ|9
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΚΑΡΔΙΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΝΕΥΡΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΟΓΚΟΛΟΓΙΑ|2
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΠΝΕΥΜΟΝΟΛΟΓΙΑ|3
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΙΑΤΡΟΣ|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|1
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ|16
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΝΟΣΗΛΕΥΤΗΣ|10
|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|ΠΡΩΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΠΡΟΪΣΤΑΜΕΝΟΣ|16
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΑΡΧΕΙΟΦΥΛΑΚΑΣ|5
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΓΡΑΜΜΑΤΕΑΣ|2
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΛΟΓΙΣΤΗΣ|4
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|3
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΑ|1
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ|2
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|8
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΚΑΡΔΙΟΛΟΓΙΑ|1
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΝΕΥΡΟΛΟΓΙΑ|2
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΟΓΚΟΛΟΓΙΑ|1
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΟΡΘΟΠΕΔΙΚΗ|2
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|1
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΙΑΤΡΟΣ|ΠΑΙΔΙΑΤΡΙΚΗ|3
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ|9
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΝΟΣΗΛΕΥΤΗΣ|22
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΑΠΟΓΕΥΜΑΤΙΝΗ|ΝΟΣΗΛΕΥΤΗΣ|ΠΡΟΪΣΤΑΜΕΝΟΣ|11
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΑΡΧΕΙΟΦΥΛΑΚΑΣ|5
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΓΡΑΜΜΑΤΕΑΣ|2
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΛΟΓΙΣΤΗΣ|3
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ|ΥΠΟΔΟΧΗ|4
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΓΑΣΤΡΕΝΤΕΡΟΛΟΓΙΑ|1
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΓΕΝΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ|3
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ|1
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|8
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΝΕΥΡΟΛΟΓΙΑ|2
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΟΓΚΟΛΟΓΙΑ|1
|ΕΝΤΑΤΙΚΗ ΘΕΡΑΠΕΙΑ|ΝΥΧΤΕΡΙΝΗ|ΙΑΤΡΟΣ|ΠΑΘΟΛΟΓΙΑ|1
